feature,importance_mean,importance_std,HR,p,cancer,direction
AGE,0.07555624094449787,0.01524699467832074,1.01422297810386,0.021691382218128743,HNSC,Risk
mut_TP53,0.03958814500279737,0.01150223186501788,1.5584831586318855,0.012991195417764103,HNSC,Risk
mut_NSD1,0.025407049304967833,0.007435925536858851,0.6379635164646975,0.06790636819092151,HNSC,Protective
total_mutations,0.02468189186475207,0.011014617831041712,1.0508814753641564,0.594240575279195,HNSC,Risk
mut_CDKN2A,0.008543373165588397,0.0024503425120539876,0.7646318430444097,0.157629731526334,HNSC,Protective
mut_NOTCH1,0.007625270768480452,0.002503989874919801,1.1764492700388194,0.40353884369260185,HNSC,Risk
mut_FAT1,0.00703495961783992,0.0020479759425895802,0.8793502583811857,0.4882058260192008,HNSC,Protective
mut_KMT2C,0.006213688332926903,0.0023043540945898553,0.8365157099091898,0.5095101590893758,HNSC,Protective
mut_PIK3CA,0.005847164641581459,0.001942081191016038,1.0532870142989132,0.7861877135230593,HNSC,Risk
mut_HRAS,0.005527980605086902,0.00420395008450765,0.6579230056918665,0.20990280870833117,HNSC,Protective
AGE,0.06270167329995298,0.01090495845107281,1.0123105218193988,0.11362064737899172,LUAD,Risk
total_mutations,0.0440471605255275,0.012983439842611686,1.084162600861181,0.4293254664099724,LUAD,Risk
mut_STK11,0.03165254418624559,0.01268635660948169,1.7120302473162514,0.014824928697241203,LUAD,Risk
mut_EGFR,0.02134099370907694,0.003968849111149828,1.4737577781049422,0.10126013893572369,LUAD,Risk
mut_TP53,0.018887747678349852,0.004054855792495828,1.2114880733140236,0.2834628327264976,LUAD,Risk
mut_KRAS,0.013503017075362733,0.002354342149740343,1.212281473913787,0.30460254014332777,LUAD,Risk
mut_KMT2C,0.005139726965378566,0.0037451998365520744,1.1997346722133364,0.4419702775345121,LUAD,Risk
mut_NF1,0.004584456712457785,0.001261287190197616,0.9391688837295339,0.7936557294418873,LUAD,Protective
mut_RB1,0.0034760559763769685,0.0008393442927623509,0.8663187529257633,0.6749790916456468,LUAD,Protective
mut_ATM,0.0031775580947490554,0.0007790495890270448,0.8956406408680294,0.7146558193781571,LUAD,Protective
AGE,0.17153541094179364,0.019978575212139166,1.0239732581771532,1.8562201357229003e-05,BRCA,Risk
total_mutations,0.030303834624031977,0.007558573186083635,1.0176146330402283,0.8398291586428733,BRCA,Risk
mut_KMT2C,0.015001249063202582,0.003459395981303904,1.3350214061824857,0.22847490954804958,BRCA,Risk
mut_TP53,0.01200740069947539,0.0017685021717962102,1.1031693844159411,0.5521385636732509,BRCA,Risk
mut_ARID1A,0.011352423182613036,0.007264493895296686,0.5979406918793069,0.2823099809203553,BRCA,Protective
mut_CDH1,0.010875437172120894,0.004583305755373679,0.8052278860701917,0.36234255488328926,BRCA,Protective
mut_GATA3,0.008765301024231809,0.004780099711729484,1.2246943875372485,0.37606462441584676,BRCA,Risk
mut_PTEN,0.0072906257806644725,0.002409370075937106,1.048754624438738,0.8806083734947041,BRCA,Risk
mut_MAP3K1,0.005580189857606788,0.002015901282750404,0.8620095326049684,0.5881027777224546,BRCA,Protective
mut_ATM,0.004558300024981243,0.003794953713852252,0.7319638427819058,0.5629812590986747,BRCA,Protective
AGE,0.12059498075605002,0.023920430918361154,1.024095152488611,0.001058279293951152,COAD,Risk
total_mutations,0.03749406864554228,0.008273980966746993,1.0090881743870543,0.881330158831581,COAD,Risk
mut_ATM,0.01645094110824069,0.005397398011052983,0.8138831727364184,0.4849848841185326,COAD,Protective
mut_TP53,0.01586439605630836,0.0025012203895611877,1.1819961172681182,0.3776734760792978,COAD,Risk
mut_FBXW7,0.011090314757209918,0.002410313092890779,0.8015176354521654,0.4015149983204923,COAD,Protective
mut_KRAS,0.01056044709231826,0.005424011204231812,0.8373594613116602,0.36809813268542046,COAD,Protective
mut_PIK3CA,0.010357462961986641,0.002405418277571196,1.1219679480627278,0.5959924385029425,COAD,Risk
mut_SMAD4,0.009947540465018233,0.0026856808272321562,1.2980267181106726,0.3107586034286037,COAD,Risk
mut_APC,0.007872884483576781,0.003243513331981153,0.933236508825373,0.7543348065104741,COAD,Protective
mut_MAP3K1,0.006748563294142506,0.003339710934602193,0.4222704416599227,0.09437793455348363,COAD,Protective
