feature,importance_mean,importance_std
AGE,0.17153541094179364,0.019978575212139166
total_mutations,0.030303834624031977,0.007558573186083635
mut_KMT2C,0.015001249063202582,0.003459395981303904
mut_TP53,0.01200740069947539,0.0017685021717962102
mut_ARID1A,0.011352423182613036,0.007264493895296686
mut_CDH1,0.010875437172120894,0.004583305755373679
mut_GATA3,0.008765301024231809,0.004780099711729484
mut_PTEN,0.0072906257806644725,0.002409370075937106
mut_MAP3K1,0.005580189857606788,0.002015901282750404
mut_ATM,0.004558300024981243,0.003794953713852252
mut_CASP8,0.0029719897576817368,0.0023117163184694155
mut_PIK3CA,0.0029235885585810585,0.0034806664606887782
mut_FAT1,0.0027643330002497858,0.0017244186159495862
mut_FBXW7,0.0027627716712465443,0.0020559313589948035
mut_RB1,0.0024911004246814692,0.002357191739541731
mut_KMT2D,0.0023950786909817667,0.0014177727086086094
mut_NF1,0.0015449350487134583,0.0009231432827029626
mut_APC,0.0006463902073444716,0.0005232991616966651
mut_EP300,0.0005527104671496196,0.000684592472411484
mut_NOTCH1,0.0002786972270796828,0.0006699270498929701
mut_EGFR,0.0001264676492630512,0.00021238666091845604
mut_HRAS,8.821508868346317e-05,0.00013833630488653892
mut_BRAF,-3.1226580065268906e-06,0.0001386069767672224
mut_SMAD4,-2.732325755684384e-05,0.00010047549435926704
mut_KRAS,-4.683987009742596e-05,0.00014783238183316592
mut_NSD1,-9.914439170622957e-05,0.0001983579247095134
mut_PIK3R1,-0.00016472020984262815,0.0025896194799289885
