feature,importance_mean,importance_std
AGE,0.12059498075605002,0.023920430918361154
total_mutations,0.03749406864554228,0.008273980966746993
mut_ATM,0.01645094110824069,0.005397398011052983
mut_TP53,0.01586439605630836,0.0025012203895611877
mut_FBXW7,0.011090314757209918,0.002410313092890779
mut_KRAS,0.01056044709231826,0.005424011204231812
mut_PIK3CA,0.010357462961986641,0.002405418277571196
mut_SMAD4,0.009947540465018233,0.0026856808272321562
mut_APC,0.007872884483576781,0.003243513331981153
mut_MAP3K1,0.006748563294142506,0.003339710934602193
mut_FAT1,0.006709020931090904,0.0031104145546611193
mut_EGFR,0.0065745768967153785,0.0030406325982636436
mut_ARID1A,0.005137871039173336,0.0021381967871015976
mut_BRAF,0.003980597880529379,0.001498546005569631
mut_KMT2D,0.003755206411135159,0.0020907941109694584
mut_NF1,0.003660304739811271,0.0030534286839993983
mut_KMT2C,0.002712606105340887,0.000974162761312764
mut_PIK3R1,0.0015461063953182141,0.0011118844059177495
mut_EP300,0.001460431275373053,0.0006062245340877392
mut_NOTCH1,0.001358939210207233,0.0009141890657479365
mut_CASP8,0.0009714240523014062,0.0025716662581763148
mut_PTEN,0.0009279274529446213,0.0009353196903559667
mut_NSD1,0.000734169873991708,0.0007076757419777763
mut_CDH1,0.0005746823430168524,0.00048243123424710193
mut_NRAS,0.0005575473190278068,0.0002723707002334885
mut_MYC,0.00039278747297942783,0.00022926994153169377
mut_GATA3,0.0003229292982549037,0.0012764590834058072
mut_STK11,1.4498866452306025e-05,0.000268412752613587
mut_RB1,-0.00023593609954127847,0.00015183100318058685
